"Название курса";"Количество файлов";"Заполненность (%)"
Проектно-педагогическая;0;0%
"Курсовая работа работа по учебной дисциплине ""Технология переработки нефти и газ";0;0%
"Финансовая математика и финансовый менеджмент";0;0%
"Технологии логико-математического развития детей дошкольного возраста / Практику";0;0%
"Технико-экономические расчеты";0;0%
"Курсовая работа по учебной дисциплине ""Металлорежущие станки""";0;0%
"Курсовой проект по учебной дисциплине ""Организация и управление поцессами в стро";0;0%
"Безопасность труда в строительстве";0;0%
"Системы компьютерной алгебры";0;0%
"История нового времени";0;0%
"Архитектоническое формообразование";0;0%
"Системы создания и поддержания микроклимата в зданиях различного назначения";0;0%
"Прикладная теория информации";0;0%
Веб-технологии;0;0%
Научно-исследовательская-1;0;0%
"Теоретико-множественные основы интеллектуальных систем";0;0%
"Основы управления интеллектуальной деятельностью";0;0%
"Системы управления базами данных";0;0%
"Аналитическая геометрия";0;0%
"Учебно-технологическая (начальный уровень)";0;0%
"Производство электроэнергии";0;0%
"Методы алгоритмизации и программирование";0;0%
"Статистическая теория связи";0;0%
"Статистическая отчетность";0;0%
"Основы права / Права человека";0;0%
"Экономика организации";0;0%
"Управление проектами";0;0%
"Курсовая работа по учебной дисциплине ""Экономический анализ и оценка экономическ";0;0%
"Финансовый менеджмент";0;0%
Судоустройство;0;0%
"Антикризисный менеджмент";0;0%
"Модуль ""Культура общения""";0;0%
"Методика расследования отдельных видов преступлений";0;0%
"Интеллектуальные ресурсы организации";0;0%
"Модуль ""Основной иностранный язык - 5"" (немецкий) / Модуль ""Основной иностранный";0;0%
"Технология хозяйствования (базовый уровень)";0;0%
"Нетрадиционные источники энергии";0;0%
Веб-программирование;0;0%
"Методология решения научно-технических задач в инфокоммуникациях";0;0%
"Маркетинговая логистика";0;0%
"Программируемые средства промышленной электроники и программируемые логические к";0;0%
"Менеджмент HR";0;0%
"Бизнес-стратегии в сети Интернет";0;0%
"Информационные технологии в экономике / Корпоративные информационные системы";0;0%
"Курсовая работа по одной из учебных дисциплин 2.8.1, 2.8.2, 2.8.3";0;0%
"Логика и аргументация / Деловое общение и коммуникация";0;0%
Финансы;0;0%
"Введение в педагогическую профессию";0;0%
"Правовое регулирование предпринимательской деятельности";0;0%
"Модуль ""Основной иностранный язык - 5""";0;0%
"Педагогическая практика в воспитательно-оздоровительных учреждениях образования";0;0%
"Правила дорожного движения";0;0%
"Правовое обеспечение развития электронного государства";0;0%
"Организация и планирование методической работы в учреждении дошкольного образова";0;0%
"Организация и экономика физической культуры и спорта";0;0%
"Курсовая работа по учебной дисциплине ""Средства технологического оснащения экспл";0;0%
"Специальный рисунок";0;0%
"Курсовая работа по учебной дисциплине ""Теоретические основы химической переработ";0;0%
"Теория и практика безопасности образовательной среды";0;0%
"Объекты дизайна и искусства в интерьере";0;0%
"Перспективы робототехники в машиностроении / Перспективные способы получения заг";0;0%
"Экономика строительства";0;0%
"Механика многофазных систем";0;0%
"Машинное обучение";0;0%
Культурология;0;0%
"Курсовая работа по учебной дисциплине ""Реконструкция объектов архитектуры и град";0;0%
"Управление качеством и сертификация продукции";0;0%
"Инновационные методы строительного контроля";0;0%
"Инженерные сети объектов трубопроводного транспорта";0;0%
"Модуль ""Научно-исследовательская работа""";0;0%
"Ведение в специальность";0;0%
"Энергосберегающие, перспективные и нетрадиционные системы ТГВ";0;0%
"Введение в Data Science";0;0%
"История языка";0;0%
"Ознакомительная переводческая";0;0%
"Методология математических исследований";0;0%
"Курсовой проект по учебной дисциплине ""Защита от вредоносного программного обесп";0;0%
"Теоретические основы технической эксплуатации и ремонт электронных средств";0;0%
"Объектно-ориентированное программирование";0;0%
"Промышленные сети";0;0%
"Основы логистики";0;0%
"Материалы промышленной электроники";0;0%
"Теория социальных коммуникаций";0;0%
"Банковское дело";0;0%
"Бухгалтерский учет в государственном секторе";0;0%
"Теория анализа хозяйственной деятельности";0;0%
"Инновационные образовательные технологии";0;0%
"Консолидация и трансформация финансовой отчетности в формат МСФО";0;0%
"Права человека и цифровое общество / Киберпреступность";0;0%
"Правовые основы цифровой экономики";0;0%
"Маркетинг программных продуктов и ИТ-услуг / SMM маркетинг и интернет-реклама";0;0%
"Организация работы и общения в инклюзивной среде / Гендерная коммуникация";0;0%
"Теплогазоснабжение и вентиляция";0;0%
"Экономика и анализ хозяйственной деятельности таможенных органов";0;0%
"Теоретические основы физического воспитания и развития детей дошкольного возраст";0;0%
Физиология;0;0%
"Управление качеством, сертификация и лицензирование";0;0%
"Курсовая работа по учебной дисциплине ""История и теория дизайна""";0;0%
"Курсовой проект по учебной дисциплине ""Детали машин и основы конструирования""";0;0%
"Курсовая работа по одной из учебных дисциплин модулей 1.4, 1.6, 1.7, 1.8";0;0%
"Профессионализация современного спорта / Комплексный врачебно-педагогический кон";0;0%
"Физические основы нанотехнологий. Высокоэнергетические методы воздействия на мат";0;0%
Архитектура;0;0%
"Диагностика и надежность машин";0;0%
"Основы права / Управление инновационными проектами";0;0%
"Архитектурная композиция";0;0%
"САПР технологических процессов";0;0%
"Финансовый и стоимостный инжиниринг";0;0%
"Механика грунтов";0;0%
"Дифференциальная геометрия и основы теории поверхностей";0;0%
"Майнор: Учебная дисциплина 1";0;0%
"Насосы, вентиляторы и компрессоры";0;0%
"Курсовой проект по учебной дисциплине ""Схемотехника""";0;0%
"Курсовой проект по учебной дисциплине ""Микроконтроллерные устройства""";0;0%
"История секретных служб Беларуси / Реформы и революции в истории Беларуси";0;0%
"Цифровая обработка изображений";0;0%
"Методика преподавания иностранного языка";0;0%
"SEO-оптимизация и юзабилити / Создание презентаций и основы публичных выступлени";0;0%
"Ряды и функции комплексного аргумента";0;0%
"Раздел ""Архитектурно-ландшафтное проектирование""";0;0%
"Информатика и компьютерная графика";0;0%
"Информационные технологии в инвестиционно-строительной деятельности";0;0%
"Электротехника и электропривод";0;0%
"Высшая геодезия. Теоретические основы формирования государственных координатных ";0;0%
"Основы управления интеллектуальной собственностью";0;0%
"Курсовая работа по учебной дисциплине ""Теплоснабжение""";0;0%
"Архитектура мобильных платформ";0;0%
"Организация распределенных электронных систем";0;0%
"Введение в литературоведение";0;0%
"Хранение и управление данными";0;0%
"Практическая фонетика I";0;0%
"Функциональный анализ и интегральные уравнения";0;0%
"Курсовая работа по учебной дисциплине ""Техническое творчество учащихся (творческ";0;0%
"Материалы электронной техники";0;0%
"Учебно-исследовательская работа студентов и основы профессиональной деятельности";0;0%
"Физический практикум: электричество и магнетизм";0;0%
"Нетрадиционные источники получения энергии";0;0%
"Анализ бизнес-процессов в логистике";0;0%
"Брендинг территория / Бренд-менеджмент";0;0%
"Инновационное развитие организации (предприятия)";0;0%
"Микроэкономический анализ и политика";0;0%
"Курсовая работа 4";0;0%
"Технология и автоматизация в делопроизводстве";0;0%
"Экстенсивное чтение";0;0%
"Оперативно-розыскная деятельность в таможенных органах";0;0%
"Философия языка";0;0%
"Методология психолого-педагогического исследования";0;0%
"Техническое обслуживание автотранспортных средств";0;0%
"Технология формообразования изделий конструкционного назначения";0;0%
"Великая Отечественная война советского народа";0;0%
"Методология в избранном виде спорта (хоккей)";0;0%
"Проектирование транспортных предприятий";0;0%
Инноватика;0;0%
"Курсовой проект по учебной дисциплине ""Технология переработки нефти и газа""";0;0%
"Курсовая работа по учебной дисциплине "" Программирование средствами 1С""";0;0%
"Курсовая работа по одному из модулей 1.5-1.9, 1.12";0;0%
Проектная;0;0%
"Курсовой проект по учебной дисциплине ""Режущий инструмент""";0;0%
"Модули специализации 1-70 02 01 02 ""Конструкции зданий и сооружений"" / Модули сп";0;0%
"Безопасность производственной деятельности и управление рисками";0;0%
"Обработка экспериментальных данных в специализированных системах";0;0%
"Основы предпринимательской деятельности";0;0%
"Интерьер и предметный дизайн";0;0%
"Ремонт и реконструкция инженерных систем зданий и сооружений";0;0%
"Основы алгоритмизации и программирования";0;0%
"Курсовая работа по учебной дисциплине ""Базы данных""";0;0%
"Современные тенденции и новации изучения отечественной и всеобщей истории";0;0%
"Инженерная геология и гидрогеология, механика грунтов, основания и фундаменты";0;0%
"Сетевые технологии и администрирование операционных систем";0;0%
Переводческая-1;0;0%
"Организация работы и общения в инклюзивной среде / Основы социального проектиров";0;0%
"Архитектура распределенных приложений / Шаблоны и алгоритмы распределенных прило";0;0%
"Введение в технический труд";0;0%
"Электрические машины";0;0%
"Лабораторный спецпрактикум ""Современные технологии программирования""";0;0%
"Теплоэнергетические процессы и установки, контроль и оптимизация параметров";0;0%
"Анализ бизнес-процессов";0;0%
Радиоавтоматика;0;0%
Онлайн-исследования;0;0%
"Инновационные технологии в интернет-бизнесе";0;0%
Языковая;0;0%
"Учет налогов в налоговых органах";0;0%
"Управление инвестициями и инновациями / Планирование инвестиционной деятельности";0;0%
"Организация предпринимательской деятельности";0;0%
"Физическая культура";0;0%
"Профессиональный этикет переводчика";0;0%
"Хозяйственный процесс";0;0%
"Правовое регулирование маркетинговой деятельности";0;0%
"Модуль ""Основной иностранный язык - 1"" (английский) / Модуль ""Основной иностранн";0;0%
"Основы педагогики и современное образование";0;0%
"Курсовой проект по учебной дисциплине ""Инженерно-техническое оборудование зданий";0;0%
"Практикум по совершению таможенных операций";0;0%
"Курсовая работа по одной из учебных дисциплин модуля 1.4";0;0%
Турпоход;0;0%
"Технология автомобилестроения";0;0%
"Цифровая живопись";0;0%
"Моделирование и оптимизация технологических процессов";0;0%
"Инклюзивная образовательная практика";0;0%
Типографика;0;0%
"Перспективы создания и применения новых материалов в машиностроении";0;0%
"Технология строительного производства";0;0%
"Учебно-исследовательская работа студентов";0;0%
"Курсовой проект по учебной дисциплине ""Разработка онлайн игр""";0;0%
"Социальные медиа";0;0%
"Семантические технологии электронного бизнеса";0;0%
"Хозяйственное право";0;0%
"Финансовые технологии";0;0%
"Трудовое право";0;0%
"Инновации и современные модели бизнеса";0;0%
"Правовое обеспечение информационной безопасности / Управление информационной без";0;0%
"Коммуникативные навыки юриста";0;0%
"Курсовая работа по дисциплине ""Экономика организации""";0;0%
"Государственный экзамен";0;0%
"Информационная культура и медиабезопасность";0;0%
"Курсовая работа по учебной дисциплине ""Инженерная экология""";0;0%
"Гражданское право. Основы управления интеллектуальной собственностью";0;0%
"Инклюзивная образовательная практика в дошкольном образовании";0;0%
"Управление инновациями";0;0%
"Проектирование обслуживающих предприятий";0;0%
"Работа в материале";0;0%
"Прикладная механика";0;0%
"Основы психологического консультирования";0;0%
"Теоретические основы дизайн-проектирования";0;0%
"Перспективы применения станков с ЧПУ для автоматизации многономенклатурного прои";0;0%
"Техническая эксплуатация зданий и сооружений";0;0%
"Конструкционное совершенствование оборудования для проведения технологических пр";0;0%
"Управление программными проектами";0;0%
"История первобытного общества";0;0%
"Курсовой проект по разделу ""Проектирование общественных зданий""";0;0%
"Конструирование и расчет изделий";0;0%
"Расчет строительных конструкций и их систем с использованием новейших программны";0;0%
"Менеджмент / Основы научных исследований и инновационной деятельности";0;0%
"Геодезическое обеспечение кадастров";0;0%
"Становление и развитие княжеской власти в Полоцкой земле (Х - ХІІІ в.)";0;0%
"Курсовой проект по учебной дисциплине ""Технология строительных и монтажных работ";0;0%
"Фреймворки и среды разработки";0;0%
"Курсовой проект по учебной дисциплине ""Конструирование программного обеспечения""";0;0%
Ознакомительно-языковая;0;0%
"Практическая фонетика II";0;0%
"Алгоритмы компьютерной графики / Алгоритмы компьютерного зрения";0;0%
"Основы кибербезопасности";0;0%
"Диагностика и ремонт контрольно-измерительных приборов и аппаратов";0;0%
"Курсовая работа по специализации (реферативного характера)";0;0%
"Элементы техники СВЧ и волоконной оптики";0;0%
"Курсовая работа по одной из учебных дисциплин модуля 2.13";0;0%
"Программные методы автоматизации эксперимента / Компьютерные технологии в физиче";0;0%
"Техника публичных выступлений";0;0%
"Экономика и управление инвестиционной деятельностью";0;0%
"Организация аудиторской деятельности";0;0%
"Финансы организации";0;0%
"Маркетинговый анализ";0;0%
"Современные модели управленческого учета";0;0%
"Справочно-правовые системы";0;0%
Криминалистика;0;0%
"Компьютерные сети и веб-технологии";0;0%
"Лингвистическое обеспечение межкультурной коммуникации";0;0%
"Техника и технология строительно-монтажных работ";0;0%
"Правовое регулирование внешнеэкономической деятельности";0;0%
"Психология развития";0;0%
"Легкая атлетика и методика преподавания";0;0%
"Проектирование предприятий автомобильного транспорта";0;0%
"Органическая химия";0;0%
"Дифференциальная психология";0;0%
"Современные проблемы физической культуры и спорта";0;0%
"Методы оптимизации технических объектов и процессов";0;0%
"Начертательная геометрия, инженерная и машинная графика";0;0%
"Коррупция и её общественная опасность";0;0%
"Международные стандарты финансовой отчетности / Бухгалтерский учет в отраслях";0;0%
"Курсовая работа по одному из модулей 1.5–1.9, 1.12";0;0%
"Раздел ""Введение в архитектурное проектирование""";0;0%
"Курсовая работа по учебной дисциплине ""Организация производства и менеджмент в м";0;0%
"Компьютерные системы и сети";0;0%
"Экспертная оценка производственных условий труда";0;0%
"Практикум на ЭВМ";0;0%
"Возрастная педагогика";0;0%
"Строительная теплофизика";0;0%
"Операционные системы и системное программирование";0;0%
"Курсовой проект по учебной дисциплине ""Программное обеспечение мобильных систем""";0;0%
"Историческая и социальная память / Историческая социология";0;0%
"Метрология, стандартизация и сертификация (в информационных технологиях)";0;0%
"Переводческая деятельность и компьютерное обеспечение";0;0%
"Практикум по культуре речевого общения. Практикум по академическому письму";0;0%
"Линейная алгебра";0;0%
"Курсовая работа по учебной дисциплине ""Педагогика"" или ""Возрастная и педагогичес";0;0%
Специализирующая;0;0%
"Методика преподавания информатики";0;0%
"Методы распараллеливания обработки информации";0;0%
"Проектный менеджмент";0;0%
"Курсовой проект по учебной дисциплине ""Микропроцессорные системы управления / Ми";0;0%
"Курсовой проект по учебной дисциплине ""Технологии и инструментальные средства пр";0;0%
"Преддипломная (Педагогическая)";0;0%
"Методы численного анализа";0;0%
"Основы бухгалтерского учета и налогообложения";0;0%
"Системы производства и распределения энергоносителей";0;0%
"Введение в программирование";0;0%
"Технологии видеонаблюдения и видеоаналитики";0;0%
"Управление цепями поставок";0;0%
"Курсовая работа по учебной дисциплине ""Программно-управляемые микроконтроллерные";0;0%
"Основы права / Социальная психология";0;0%
"Информационные системы корпоративного управления";0;0%
"Управленческий учет в системе экономической безопасности";0;0%
"Уголовный процесс";0;0%
"Организация производства";0;0%
"1-я педагогическая";0;0%
"Основы таможенного дела";0;0%
Дискурс-анализ;0;0%
"Тренинг эмоционального интеллекта и личностного роста";0;0%
"Нормирование точности и технические измерения";0;0%
"Управление в хозяйственном обществе";0;0%
"Методологическая культура педагога";0;0%
"Теория и методика оздоровительной физической культуры";0;0%
"Курсовая работа по учебной дисциплине ""Проектирование транспортных средств""";0;0%
"Современные материалы и технологии в архитектурном формообразовании";0;0%
"Основы технологии нефтехимического синтеза";0;0%
"Курсовой проект по учебной дисциплине ""Программирование сетевых приложений""";0;0%
"Теория и методика развития музыкального воспитания детей дошкольного возраста";0;0%
"Модуль ""Безопасность жизнедеятельности""";0;0%
Интернет-технологии;0;0%
"Конструкции из дерева и пластмасс";0;0%
"Сооружение площадочных объектов систем транспортирования, хранения и распределен";0;0%
"Научно-исследовательская работа";0;0%
"История Беларуси нового времени";0;0%
"Курсовая работа по учебной дисциплине ""Реставрация памятников архитектуры""";0;0%
"Эффективные строительные композиты для ""зеленого"" строительства";0;0%
"Курсовой проект по учебной дисциплине ""Строительные конструкции""";0;0%
"Методы геодезического мониторинга инженерных сооружений";0;0%
"Исследовательский семинар";0;0%
"Компьютерное проектирование";0;0%
"Современные платформы программирования";0;0%
"История зарубежной литературы XVII - XIX веков";0;0%
BI-аналитика;0;0%
"Анализ и проектирование информационных систем / Проектирование и разработка высо";0;0%
"Курсовая работа по учебной дисциплине ""Методы и стандарты оценки защищенности ко";0;0%
"Теоретические основы электротехники";0;0%
"Моделирование физических процессов";0;0%
"Современные проблемы физики";0;0%
"Курсовая работа по дисциплине ""Макроэкономика""";0;0%
"Компьютерное моделирование электронных устройств";0;0%
"Социальная философия";0;0%
"Организация производства и операционный менеджмент";0;0%
"Курсовая работа по учебной дисциплине ""Микроэкономика""";0;0%
"Финансово-экономический анализ деятельности организации";0;0%
"Управление информационными системами";0;0%
"Денежно-кредитные методы регулирования инновационной экономики";0;0%
"Правовое регулирование управления в сфере цифровой экономики";0;0%
"История политических и правовых учений";0;0%
"Управление проектами / Каналы дистрибуции и маркетинговая логистика";0;0%
"Экскурсоведение / Моделирование туристических маршрутов";0;0%
"Теория и методика формирования основ безопасности жизнедеятельности детей дошкол";0;0%
"Компьютерное проектирование систем ВиВ";0;0%
"Таможенные операции и процедуры";0;0%
"Русский язык";0;0%
"Зимний учебный сбор";0;0%
"Курсовая работа по учебной дисциплине ""Информационное обеспечение автосервиса""";0;0%
"Курсовая работа по учебной дисциплине ""Дизайн-проектирование (графический дизайн";0;0%
"Машины и аппараты химических производств";0;0%
"Коррекционно-развивающая работа при школьной дезадаптации обучающихся";0;0%
Перспектива;0;0%
"Технологии восстановления и упрочнения деталей автомобилей";0;0%
"Сопротивление материалов";0;0%
"Маркетинг с основами логистики";0;0%
"Высокоуровневые языки программирования";0;0%
"Экономика проектирования и строительства";0;0%
"Типовые операции механосборочных процессов";0;0%
"Проектирование и расчет специальных сооружений и пространственных конструкций";0;0%
"Взаимозаменяемость, стандартизация и технические измерения";0;0%
"Высшая геодезия";0;0%
Эвристическая;0;0%
"Курсовой проект по учебной дисциплине ""Отопление""";0;0%
"Курсовой проект по учебной дисциплине ""Структурная и функциональная организация ";0;0%
"Технологии мобильной спутниковой и сотовой связи";0;0%
"Династические и политические элиты в Беларуси";0;0%
"История литературы страны изучаемого языка первой половины XX века";0;0%
"Тренинг эмоционального интеллекта";0;0%
"Курсовой проект по учебной дисциплине ""Организация производства строительно-монт";0;0%
"Социология / Логика";0;0%
"Организация работы с одаренными детьми";0;0%
"Физическое воспитание за рубежом";0;0%
"Курсовая работа по учебной дисциплине ""Взаимозаменяемость, стандартизация и норм";0;0%
"Современные художественные практики";0;0%
"Эксплуатация, ремонт и монтаж машин и оборудования";0;0%
"Психодиагностика психического развития взрослых и лиц пожилого возраста";0;0%
"Основы стилеобразования";0;0%
"Пути совершенствования инструмента для обработки деталей машин";0;0%
"Железобетонные и каменные конструкции";0;0%
"Моделирование и оптимизация технологических процессов переработки углеводородов";0;0%
"Интеллектуальные информационные системы";0;0%
"Иностранный язык (общее владение)";0;0%
"Курсовой проект по разделу ""Проектирование производственных объектов""";0;0%
"Нормирование точности изделий аддитивного синтеза";0;0%
"Курсовая работа по учебной дисциплине «Современные подходы к анализу строительны";0;0%
"Курсовой проект по учебной дисциплине ""Трубопроводный транспорт нефти и нефтепро";0;0%
"Курсовая работа по учебной дисциплине ""Геодезическое обеспечение автоматизирован";0;0%
"Польский язык / Греческий язык";0;0%
"Курсовой проект по учебной дисциплине ""Теплоснабжение""";0;0%
"Объектно-ориентированное проектирование и программирование";0;0%
"Основы программной инженерии";0;0%
"Практикум по аудированию (основной иностранный язык)";0;0%
"Курсовая работа по учебной дисциплине ""Программное обеспечение мобильных систем""";0;0%
"История зарубежной литературы";0;0%
"Программирование мобильных систем / Методы и стандарты оценки защищенности компь";0;0%
"Проектирование и производство изделий интегральной электроники";0;0%
"Начала программирования (корректирующий курс)";0;0%
"Проектирование изделий интегральной электроники";0;0%
"Теория анализа хозяйственной деятельности*";0;0%
"Физический практикум: физика атома";0;0%
"Курсовая работа по учебной дисциплине ""Информатика""";0;0%
"Логистика в электронной торговле";0;0%
Микроэкономика;0;0%
"Дизайн экономических механизмов";0;0%
"Корпоративная социальная ответственность и отчетность";0;0%
"Сравнительное уголовно-процессуальное право / Правовое обеспечение цифровой тран";0;0%
"Судебно-следственная психология";0;0%
"Курсовой проект по учебной дисциплине «Товарная политика и бренд-менеджмент»";0;0%
Конфликтология;0;0%
"Технология очистки сточных вод";0;0%
Профайлинг;0;0%
"Основы физиологии и педиатрии ребенка раннего и дошкольного возраста";0;0%
"Психологический и социальный буллинг";0;0%
"Курсовой проект по учебной дисциплине ""Технология производства автомобилей""";0;0%
"Обрабатывающие станки с программным управлением";0;0%
"Модуль ""Организация профессиональной деятельности педагога-психолога""";0;0%
"Методология научного исследования в избранном виде спорта (хоккей)";0;0%
"Средства технологического оснащения транспортных предприятий";0;0%
"Курсовой проект о разделу ""Архитектурно-ландшафтное проектирование""";0;0%
"Курсовой проект по учебной дисциплине ""Прикладная механика""";0;0%
"Анализ и управление бизнес-процессами";0;0%
"Основы дефектологии";0;0%
"Защита дипломного проекта в ГЭК";0;0%
"Курсовая работа по учебной дисциплине ""Технологическая оснастка""";0;0%
"Прединвестиционный и проектный инжиниринг";0;0%
Научно-производственная;0;0%
"Системы математического моделирования";0;0%
"История нового времени государств Азии, Африки и Латинской Америки";0;0%
"История и теория дизайна";0;0%
"Теория и практика использования реагентов для очистки сточных вод от биогенных э";0;0%
"Программирование на языке ассемблера";0;0%
"Материалы и компоненты электронных мобильных систем";0;0%
"Национальный вопрос в истории Беларуси / Теория этногенеза в современной историо";0;0%
"Математические основы интеллектуальных систем";0;0%
"Раннее обучение иностранному языку";0;0%
"Функциональная грамматика (на базе первого иностранного языка)";0;0%
"Дифференциальное и интегральное исчисление";0;0%
"Дизайн интерьера";0;0%
"Электромагнитные переходные процессы";0;0%
Черчение;0;0%
"Теория автоматизированного управления в инфокоммуникациях";0;0%
"Анализ бухгалтерской отчетности";0;0%
"Электромагнитная совместимость";0;0%
"Ивент-менеджмент / Креативное письмо";0;0%
Веб-графика;0;0%
"Ценообразование и налогообложение";0;0%
"Финансы внешнеэкономической деятельности";0;0%
"Информационное право";0;0%
"Основы бизнес-анализа";0;0%
"Основы копирайтинга / Редактирование текста";0;0%
"Правовая аналитика / Правовая аргументация";0;0%
"Менеджмент организации";0;0%
"Учебная дисциплина 1";0;0%
"Передача и распределение электроэнергии";0;0%
"Техническое творчество учащихся";0;0%
"Методы защиты сетей инфокоммуникаций";0;0%
"Основы ценообразования в логистике";0;0%
"Системы автоматизированного проектирования электронных средств";0;0%
"Правовое регулирование коммуникации";0;0%
"Веб-технологии и программирование";0;0%
"Кадровая безопасность";0;0%
"Финансово-экономический анализ деятельности организации (предприятия)";0;0%
"Социология права";0;0%
"Экономическая оценка бизнеса";0;0%
Ознакомительная;0;0%
"Интеллектуальная собственность - драйвер инновационного развития на пространстве";0;0%
"Модуль ""Основной иностранный язык - 6""";0;0%
"Профилактика девиантного поведения";0;0%
Автомобили;0;0%
"Правотворчество органов представительной, исполнительной и судебной власти";0;0%
"Основы управления интеллектуальной собственностью / Правовые основы деятельности";0;0%
"Преддипломная по специализации";0;0%
"Расчет и теория движения автомобиля";0;0%
"Белорусский язык";0;0%
"Теоретические основы химической переработки природных энергоносителей";0;0%
"Основы сексологии";0;0%
"Пластическая анатомия";0;0%
"Пути совершенствования инструмента для обработки деталей машин / Технологии восс";0;0%
"Автоматизированные системы управления";0;0%
"Проектирование химических производств";0;0%
"Обеспечение конфиденциальности информации в сети Интернет";0;0%
